url,local,nombre_show,n_opiniones,num_paginas
/entradas/juan-moreno-infame_e4890098/,El Golfo Comedy Club,Juan Moreno Infame,6,1
/entradas/pablo-alcaraz-y-toni-moret-heterobasicos_e4890031/,El Golfo Comedy Club,Pablo Alcaraz Y Toni Moret Heterobasicos,2,1
/entradas/first-date-comedy_e4898656/,Clandestino Café Teatro,First Date Comedy,2,1
/entradas/yo-ya-monologo-de-humor_e4887835/,Clandestino Café Teatro,Yo Ya Monologo De Humor,0,0
/entradas/sonrisas-y-lagrimas_e4888530/,Clandestino Café Teatro,Sonrisas Y Lagrimas,1,1
/entradas/pero-que-me-estas-contando-monologo-y-comedia_e4887826/,Clandestino Café Teatro,Pero Que Me Estas Contando Monologo Y Comedia,16,2
/entradas/a-cabaret-sola_e4890153/,Clandestino Café Teatro,A Cabaret Sola,5,1
/entradas/comedia-hostil-un-show-de-humor-negro-_e4885215/,El Golfo Comedy Club,Comedia Hostil Un Show De Humor Negro ,105,11
/entradas/borja-manjon-poca-cosa-_e4873892/,El Golfo Comedy Club,Borja Manjon Poca Cosa ,109,11
/entradas/patxi-zubeldia-bestia-parda_e4889449/,El Golfo Comedy Club,Patxi Zubeldia Bestia Parda,2,1
/entradas/bhonny-lorenzo-presenta-bonifacetico_e4883495/,El Golfo Comedy Club,Bhonny Lorenzo Presenta Bonifacetico,7,1
/entradas/alberto-graupera-no-le-busques-sentido_e4889563/,El Golfo Comedy Club,Alberto Graupera No Le Busques Sentido,1,1
/entradas/alicia-montoya-payasa_e4891448/,El Golfo Comedy Club,Alicia Montoya Payasa,6,1
/entradas/nadin-din-una-golfa-y-libre_e4874806/,El Golfo Comedy Club,Nadin Din Una Golfa Y Libre,1,1
/entradas/me-estoy-quitando-roberto-gontan_e4901473/,El Golfo Comedy Club,Me Estoy Quitando Roberto Gontan,2,1
/entradas/siroco-quien-c-n-es-karlos-herrero_e4891450/,El Golfo Comedy Club,Siroco Quien C N Es Karlos Herrero,0,0
/entradas/gonzalo-jimenez-sinvergonza_e4885349/,El Golfo Comedy Club,Gonzalo Jimenez Sinvergonza,7,1
/entradas/pilar-de-francisco-y-borja-sumozas-por-fin-juntos_e4874723/,El Golfo Comedy Club,Pilar De Francisco Y Borja Sumozas Por Fin Juntos,9,1
/entradas/jesus-arenas-campechano_e4857549/,El Golfo Comedy Club,Jesus Arenas Campechano,9,1
/entradas/nico-lozano-borderline-golfo-edition-_e4867634/,El Golfo Comedy Club,Nico Lozano Borderline Golfo Edition ,0,0
/entradas/esther-gimeno-estoy-bien_e4872289/,El Golfo Comedy Club,Esther Gimeno Estoy Bien,7,1
/entradas/madrid-no-esta-preparada-para-esto-danny-boy-b-sumozas-y-f-villena_e4871202/,El Golfo Comedy Club,Madrid No Esta Preparada Para Esto Danny Boy B Sumozas Y F Villena,8,1
/entradas/pagar-el-alquiler-un-show-de-monologos-de-arnau-soler_e4868932/,El Golfo Comedy Club,Pagar El Alquiler Un Show De Monologos De Arnau Soler,0,0
/entradas/soy-un-kiwi-un-monologo-de-jaime-gago_e4897573/,Estupenda Bar,Soy Un Kiwi Un Monologo De Jaime Gago,6,1
/entradas/monologo-de-alicia-montoya-payasa-_e4897246/,Estupenda Bar,Monologo De Alicia Montoya Payasa ,102,11
/entradas/malasana-comedy-show-_e4898595/,Estupenda Bar,Malasana Comedy Show ,101,11
/entradas/histericas-en-san-sebastian-de-los-reyes_e4896767/,La Nota Rock,Histericas En San Sebastian De Los Reyes,0,0
/entradas/comedia-amateur_e4898596/,Estupenda Bar,Comedia Amateur,2,1
/entradas/pero-como-voy-a-ser-racista-si-mi-gato-es-negro_e4900760/,Estupenda Bar,Pero Como Voy A Ser Racista Si Mi Gato Es Negro,0,0
/entradas/histericas_e4894914/,Estupenda Bar,Histericas,20,3
